column_label,STNAME,AGENCY,POP,GROUP,total_arrests_race_data,total_White_arrests,total_African_American_arrests,total_violent_arrests,total_marijuana_possession_arrests_race_data,total_White_marijuana_possession_arrests,total_African_American_marijuana_possession_arrests,total_marijuana_possession_and_sale_arrests_race_data,total_White_marijuana_possession_and_sale_arrests,total_African_American_marijuana_possession_and_sale_arrests,total_non_violent_non_drug_misdemeanor_arrests_race_data,total_White_non_drug_misdemeanor_arrests,total_African_American_non_drug_misdemeanor_arrests
UCR_2016,OKLA,OKLAHOMA CITY,641681,1B,28068,16721,9770,6138,1773,886,791,1902,955,847,2727,1415,1002
UCR_2016,OKLA,TULSA,405748,1C,17542,11144,5523,5493,640,342,273,803,402,374,2434,1526,688
UCR_2016,PA,PHILADELPHIA,1570826,1A,75142,27414,46929,17699,636,125,506,2145,348,1764,8069,2234,5755
UCR_2016,PA,PITTSBURGH,302443,1C,15105,6888,8112,4590,544,160,382,621,179,438,2198,1281,881
UCR_2016,TENN,MEMPHIS,656434,1B,38857,5361,33309,10983,1464,118,1344,1942,145,1791,3069,510,2520
UCR_2016,TEXAS,ARLINGTON,392666,1C,14805,8464,6119,3847,1156,521,622,1158,521,624,1502,1029,442
UCR_2016,TEXAS,AUSTIN,956911,1B,39378,28778,10133,7373,2070,1410,643,2104,1428,659,2935,2446,440
UCR_2016,TEXAS,CORPUS CHRISTI,327948,1C,29318,26344,2899,3690,1227,1114,110,1229,1116,110,4959,4513,430
UCR_2016,TEXAS,DALLAS,1320939,1A,44224,22030,21776,10314,1997,754,1231,2044,779,1253,7215,4281,2834
UCR_2016,TEXAS,EL PASO,687193,1B,25547,23321,2159,6474,2009,1805,198,2074,1863,205,2021,1909,105
UCR_2016,TEXAS,FORT WORTH,851849,1B,29993,18226,11450,10082,988,511,465,1023,530,481,3642,2655,946
UCR_2016,TEXAS,HOUSTON,2334348,1A,78169,31318,43035,16868,2685,924,1635,2766,945,1690,3471,1545,1740
UCR_2016,TEXAS,PLANO,288242,1C,10608,7480,2718,1435,347,238,100,356,246,101,920,735,151
UCR_2016,TEXAS,SAN ANTONIO,1498642,1A,60771,52408,8319,18428,3530,2979,548,3532,2981,548,1800,1643,154
UCR_2016,VA,VIRGINIA BEACH,453017,1C,22575,12563,9694,4535,991,444,535,1064,475,577,3525,2247,1243
UCR_2016,WASH,SEATTLE,700313,1B,15598,8669,5446,6388,17,7,7,49,16,23,467,268,149
UCR_2016,WIS,MILWAUKEE,600193,1B,27086,6177,20552,7551,1023,156,860,1232,185,1039,4999,1302,3606
